,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
456,Data Visualization PowerBI Developer,USD 78K - 107K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Lake Mary, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
457,Principal Data Scientist - AI Foundations,-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or PhD in “STEM” field (Science……",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
458,(Senior) Data Scientist - BCG X & BCG Fed,USD 145K - 190K (Employer est.),"You will collaborate on interdisciplinary teams of BCG X engineers, researchers, technical experts, designers, and BCG consultants to design, build, and deploy……",4.3,Boston Consulting Group,"Boston, MA",10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
459,Data Scientist Technical Specialist,USD 146K - 234K (Employer est.),The candidate for this role will be involved in the analysis of unstructured and semi-structured data. Candidate selected must have an active TS/SCI clearance……,3.6,Peraton,"Reston, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
460,Data Visualization PowerBI Developer,USD 71K - 96K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Lake Mary, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
461,Principal Data Scientist - BCG X & BCG Fed,USD 253K (Employer est.),"You will collaborate on interdisciplinary teams of BCG X engineers, researchers, technical experts, designers, and BCG consultants to design, build, and deploy……",4.3,Boston Consulting Group,"Boston, MA",10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
462,Senior Research Data Scientist - Center for Health Data Science & Analytics,USD 93K - 141K (Glassdoor est.),"Master's degree in computer science, Clinical Informatics, Public Health Administration, Business Administration, or Engineering, or an MD with experience in……",4.3,Houston Methodist Academic Institute,"Houston, TX",10000+ Employees,1919,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
463,Principal Data Scientist - BCG X & BCG Fed,USD 253K (Employer est.),"You will collaborate on interdisciplinary teams of BCG X engineers, researchers, technical experts, designers, and BCG consultants to design, build, and deploy……",4.3,Boston Consulting Group,"Pittsburgh, PA",10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
464,"Manager, Data Science - Financial Services",-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics), or PhD in “STEM” field (Science, Technology, Engineering, or Mathematics).…",3.9,Capital One,"Plano, TX",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
465,Sr. Data Analyst,USD 85K - 110K (Employer est.),Write clean code that can be maintained and extended by other technical stakeholders. Stay up-to-date with industry technologies and frameworks to identify……,4.1,SteadyMD,United States,51 to 200 Employees,2016,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
466,Senior Research Scientist and Data Analyst,USD 85K - 117K (Glassdoor est.),"You will be responsible for providing data research and support services for all the organization’s active research projects, including criminal justice data……",3.8,CGL Companies,"Miami, FL",51 to 200 Employees,--,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$5 to $25 million (USD)
467,"Senior Deep Learning Software Engineer, DLSim",USD 148K - 276K (Employer est.),"A Masters or PhD degree in Computer Science, Computer Engineering, or a related STEM field (or equivalent experience). Engage with Open Source communities.…",4.6,NVIDIA,"Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD)
468,Senior Engineer - Generative AI Product Engineering,-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"San Jose, CA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
469,Machine Learning Engineer,USD 77K - 113K (Glassdoor est.),Demonstrated success applying advanced statistical methods and machine learning algorithms to production/field data using Python or R.…,3.2,Howmet Aerospace,"Whitehall, MI",Unknown,1888,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
470,Lead Software Engineer- Big Data Streaming,USD 100K - 132K (Glassdoor est.),"Executes creative software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to……",4.0,JPMorgan Chase & Co,"Columbus, OH",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
471,Senior Engineer - Generative AI Product Engineering (Remote Eligible),-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. We are committed to building world-class applied science and engineering teams……",3.9,Capital One,"Atlanta, GA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
472,Experienced Cleared Data Scientist,USD 111K - 150K (Glassdoor est.),"Manipulating large data sets, data mining, and structuring of raw data using open sources tools such as Python to formulate or recognize patterns to generate……",3.7,Guidehouse,"Washington, DC",1001 to 5000 Employees,2018,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
473,Consumer Products/Retail Data Science Manager,USD 82K - 143K (Glassdoor est.),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical……",4.0,Deloitte,"Tampa, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
474,Principal Data Scientist Artificial Intelligence Machine Learning Scientist - Financial Advice,USD 125K - 168K (Glassdoor est.),"Strong technical knowledge on big data technologies, cloud, and opensource software tools. PhD in Computer Science, Statistics, Machine Learning, Data Science,……",3.7,Vanguard,"Malvern, PA",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
475,Senior Engineer - Generative AI Product Engineering (Remote Eligible),-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"Atlanta, GA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
476,Cloud Data Engineer - Solution Specialist,USD 81K - 112K (Glassdoor est.),"Generate design, development, test plans, detailed functional specifications documents, user interface design, and process flow charts for execution of……",4.0,Deloitte,"Gilbert, AZ",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
477,Cloud Data Engineer - Solution Specialist,USD 74K - 104K (Glassdoor est.),"Generate design, development, test plans, detailed functional specifications documents, user interface design, and process flow charts for execution of……",4.0,Deloitte,"Lake Mary, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
478,Senior Engineer - Generative AI Product Engineering (Remote Eligible),-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. We are committed to building world-class applied science and engineering teams……",3.9,Capital One,"Boston, MA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
479,Consumer Products/Retail Data Science Manager,USD 103K - 154K (Glassdoor est.),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical……",4.0,Deloitte,"Detroit, MI",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
480,Data Scientist,USD 80K - 192K (Employer est.),"A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology,……",3.7,National Security Agency,"Fort Meade, MD",Unknown,1962,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
481,Lead Data Scientist,USD 97K - 158K (Glassdoor est.),"Manage use case design and build teams on day-to-day basis, providing guidance and feedback as they develop and operationalize data science models and……",4.7,The Friedkin Group,"Houston, TX",5001 to 10000 Employees,1969,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
482,"Senior Associate Data Scientist - Statistical Analysis, Financial Services",-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics), or PhD in “STEM” field (Science, Technology, Engineering, or Mathematics).…",3.9,Capital One,"Plano, TX",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
483,Data Scientist,USD 97K - 160K (Glassdoor est.),10+ years’ experience in Data Science or related field. The incumbent will assist with definition and implementation of data analysis and data modeling……,3.2,Quirch Foods,"Coral Gables, FL",201 to 500 Employees,1967,Company - Private,Wholesale,Retail & Wholesale,$500 million to $1 billion (USD)
484,Lead/Senior Bioinformatics Research Scientist- Data Scientist,USD 104K - 186K (Employer est.),"Bachelor's degree in bioinformatics, cheminformatics, statistics/computer science (with a background in biological sciences or chemistry) or related field.…",4.6,St. Jude Children's Research Hospital,"Memphis, TN",5001 to 10000 Employees,1962,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
485,Senior Data Analyst/Scientist,USD 50.00 - 55.00 Per Hour (Employer est.),Create and implement data scraping/mining tools and workflows. Help the team meet data analysis project deliverables. Create data visualizations with Power BI.…,4.1,CyberCoders,"Dallas, TX",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
486,Data Visualization PowerBI Developer,USD 84K - 112K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Gilbert, AZ",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
487,Data Access Management Specialist,USD 76K - 120K (Glassdoor est.),"Bachelor’s degree in computer science, Information Technology, or a related field. Experience with process design, implementation, and improvement.…",4.0,Sanofi,"Cambridge, MA",10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
488,Senior Research Data Scientist - Imaging,USD 84K - 125K (Glassdoor est.),"Master's degree in computer science, Clinical Informatics, Public Health Administration, Business Administration, or Engineering, or an MD with experience in……",4.3,Houston Methodist Academic Institute,"Houston, TX",10000+ Employees,1919,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
489,Data Visualization PowerBI Developer,USD 77K - 101K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Gilbert, AZ",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
490,Senior Marketing Data Analyst,USD 66K - 95K (Glassdoor est.),Serves as project management lead on implementation of marketing visualization tools. Runs deep-dive analysis and answers ad-hoc business questions to drive……,4.2,Insperity,"Kingwood, TX",1001 to 5000 Employees,1986,Company - Public,Business Consulting,Management & Consulting,$5 to $25 million (USD)
491,Principal Application Developer,USD 120K - 156K (Glassdoor est.),"Bachelor's degree in Computer Science, Computer Engineering, Information Systems, related Engineering disciplines, or related field of study and six (6) years……",3.9,ADP,"Alpharetta, GA",10000+ Employees,1949,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
492,Sr.Data Science Associate- Consumer Lending,USD 77K - 125K (Glassdoor est.),"Presents results of analyses to business units, explain technical and statistical concepts to non-technical/non-statistical associates and vice-versa.…",3.8,Santander Holdings USA Inc,"Boston, MA",5001 to 10000 Employees,1856,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD)
493,Principal Data Scientist - BCG X & BCG Fed,USD 253K (Employer est.),"You will collaborate on interdisciplinary teams of BCG X engineers, researchers, technical experts, designers, and BCG consultants to design, build, and deploy……",4.3,Boston Consulting Group,"New York, NY",10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
494,Data Scientist - A/B testing and Pyspark,USD 70K - 102K (Glassdoor est.),"Your role will combine a judicious and tactful blend of Hi-Tech domain, Analytical experience, Client interfacing skills, and solution design and business……",3.2,Infosys,"Austin, TX",10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
495,Data Scientist - REMOTE,-1,"In this role, you will be responsible for leveraging data to drive insights and develop machine learning models to solve complex business problems.…",4.6,Highlight Technologies,United States,201 to 500 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
496,"Sr. Data Scientist, Specialist",USD 85K - 116K (Glassdoor est.),"Research, develop, and implement advanced AI/ML solutions to support data-driven business decision making. Serve as the data science expert on cross functional……",3.7,Vanguard,"Malvern, PA",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
497,"Senior Director, Data Science & AI - Enabling Functions",USD 123K - 179K (Glassdoor est.),"Communicate complex data science concepts and project outcomes to a variety of stakeholders, both technical and non-technical. LLM experience is a plus.…",4.2,Genmab,"Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
498,"Associate Director, Commercial Data Science",USD 95K - 160K (Glassdoor est.),"Highly independent with the ability to develop innovative solutions to complex, unstructured problems. Strong background in data science, commercial analytics,……",4.2,Genmab,"Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
499,Senior Engineer - Generative AI Product Engineering,-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. We are committed to building world-class applied science and engineering teams……",3.9,Capital One,"San Francisco, CA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
500,Machine Learning Research Scientist,USD 86K - 138K (Employer est.),"Peraton Labs delivers world class networking, machine learning, cyber research and engineering to government agencies, telecom carriers, utilities, and……",3.6,Peraton,"Basking Ridge, NJ",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
501,Data Labeling Quality Specialist,USD 18.00 Per Hour (Employer est.),The Data Labeling Quality Specialist role is an entry-level position for individuals who are interested in working in the Artificial Intelligence and Machine……,3.7,Scale AI,United States,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
502,Consumer Products/Retail Data Science Manager,USD 97K - 156K (Glassdoor est.),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical……",4.0,Deloitte,"Atlanta, GA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
503,Quantitative Developer (Data Engineer/Scientist),USD 150K - 800K (Employer est.),This is your chance to work directly with seasoned traders to influence the investment process by leveraging your experience with modern data tools and……,3.4,Selby Jennings,"Houston, TX",201 to 500 Employees,2004,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$5 to $25 million (USD)
504,Data Scientist – Generative AI,USD 118K - 182K (Employer est.),"Typically has 7-10 years of work experience, preferably in data analytics, statistical modeling, machine learning, or a related field.…",4.1,Hewlett Packard,"Denver, CO",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
505,Professional-Data Scientist,USD 141K - 193K (Employer est.),"REQUIREMENTS: Requires a Master’s degree, or foreign equivalent degree, in Information Technology and Management, Data Science, or Computer Science and 2 years……",3.5,AT&T,"Alpharetta, GA",10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
506,Senior Statistical Programmer,-1,"Must have sound technical judgment and experience in process design and implementation in relevant areas. Excellent written and verbal ability, including the……",-1,Telix Pharmaceuticals (Americas),Remote,-1,-1,-1,-1,-1,-1
507,"Lead, Data Scientist",USD 135K - 201K (Employer est.),"Provide deep technical leadership to a portfolio of high impact data science initiatives. As a Lead, Data Scientist for Finance and Actuarial, you will partner……",3.9,Prudential,"Newark, NJ",10000+ Employees,1875,Company - Public,Investment & Asset Management,Financial Services,$10+ billion (USD)
508,"Distinguished Engineer, Generative AI Systems (Remote-Eligible)",-1,"Master’s degree or PhD in Engineering, Computer Science, a related technical field, or equivalent practical experience with a focus on modern AI techniques.…",3.9,Capital One,"Boston, MA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
509,Senior Engineer - Generative AI Product Engineering (Remote Eligible),-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"Plano, TX",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
510,Senior Data Scientist,USD 97K - 162K (Employer est.),"The right candidate could also have a different combination, such as a master's degree and 2 years' experience; a Ph.D. and up to 1 year of experience; or 8……",4.0,Cox Communications,"Atlanta, GA",10000+ Employees,1962,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD)
511,"NLP Data Scientist - Python | Machine Learning | AI - Hybrid - TS/SCI - Tampa, FL",USD 88K - 126K (Glassdoor est.),The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to……,4.0,Deloitte,"Tampa, FL",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
512,Data Scientist,USD 93K - 127K (Glassdoor est.),"Master’s Degree in Statistics, Data Science or related field. You will work collaboratively with data engineers and data mappers to design, build and scale our……",3.7,CARFAX,"Centreville, VA",1001 to 5000 Employees,1984,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
513,"Engineering Manager, Machine Learning",USD 190K - 210K (Employer est.),"Drive the research, design, and implementation of advanced ML and Generative AI algorithms to enhance model capabilities. 401k retirement plan with matching.…",3.7,Vagaro,"Pleasanton, CA",201 to 500 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
514,Sr Data Scientist - AI/ML,USD 91K - 130K (Glassdoor est.),"Strong business orientation and problem-solving skills with great attention to details; Ability to solve complex problems using creative ideas, state-of-the-art……",3.4,Kelly,"West Chester, PA",5001 to 10000 Employees,1946,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD)
515,Principal Data Scientist - AI Foundations,-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or PhD in “STEM” field (Science……",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
516,VP Data Science,USD 124K - 262K (Employer est.),And we provide institutions and independent advisors with investment and technology solutions to help invest their own clients’ money.…,4.3,Fidelity Investments,"Boston, MA",10000+ Employees,1946,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD)
517,"Data Scientist, Senior Associate",USD 86K - 138K (Employer est.),"A degree in a related field (e.g., Computer Info Sys, Engineering, in the physical/hard sciences, or other science disciplines with a substantial computational……",3.6,Peraton,"Fort Meade, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
518,Experimentation Data Scientist,USD 198K - 260K (Employer est.),"Advanced degree in a quantitative field like statistics, economics, computer science, operations research, or engineering; or relevant work experience.…",3.7,Rokt,"New York, NY",201 to 500 Employees,2012,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
519,"Manager, Data Scientist - Compliance Risk",-1,You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms. At least 4 years’ experience with SQL.…,3.9,Capital One,"Richmond, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
520,Principal Data Science,USD 127K - 177K (Employer est.),"Operates as a subject matter expert on statistical analysis, test and design of experiment, analysis methodology, modeling & application, and financial impact……",3.9,Discover Financial Services,"Riverwoods, IL",10000+ Employees,1985,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD)
521,Machine Learning Engineer,USD 77K - 113K (Glassdoor est.),Demonstrated success applying advanced statistical methods and machine learning algorithms to production/field data using Python or R.…,3.2,Howmet Aerospace,"Whitehall, MI",Unknown,1888,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
522,Data Science Practitioner,USD 80K - 150K (Glassdoor est.),"Software engineering/programming - 2+ years. Bachelors in CS, math, data science, or similar or and additional three years of experience in lieu of a degree.…",4.2,Accenture Federal Services,"Washington, DC",10000+ Employees,1989,Subsidiary or Business Segment,Business Consulting,Management & Consulting,Unknown / Non-Applicable
523,"Manager, Data Science - ML Automation and Code Quality",-1,"PhD in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics. (i.e., not GUI-driven ML).…",3.9,Capital One,"McLean, VA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
524,Lead Engineer - Data Science and Applied Statistics,-1,"Communicate to teams delivering design, manufacturing, assembly, test, field, and repair activities. Uses LEAN tools and approaches, including decision theory……",4.0,GE,"Evendale, OH",10000+ Employees,1892,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
525,Senior Engineer - Generative AI Product Engineering,-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"San Jose, CA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
526,Technical Recruiter (AI/NLP space),-1,"Coordinate and conduct technical assessments, coding tests, and other relevant evaluations to ensure candidates' technical competencies align with job……",-1,Confidential,"Bellevue, WA",-1,-1,-1,-1,-1,-1
527,Senior Engineer - Generative AI Product Engineering,-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"San Francisco, CA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
528,Deep Learning Data Science Manager,USD 116K - 160K (Glassdoor est.),"You will be responsible for the technical direction of client engagements while defining the project strategy, communicating complex concepts to both technical……",4.0,Deloitte,"Detroit, MI",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
529,Solutions Architect (Artificial Intelligence),USD 150.00 - 200.00 Per Hour (Employer est.),"Strong communication and collaboration skills, with the ability to effectively convey complex technical concepts to both technical and non-technical……",4.0,"Tentek, Inc.","Culver City, CA",51 to 200 Employees,1992,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD)
530,"Manager, Data Science - NLP",-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or PhD in “STEM” field (Science……",3.9,Capital One,"New York, NY",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
531,Senior Investment Data Analyst,USD 92K - 157K (Glassdoor est.),Ability to develop and maintain relationships with internal and external clients and stakeholders at all levels in the organization.…,3.7,Vanguard,"Malvern, PA",10000+ Employees,1975,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable
532,Senior Engineer - Generative AI Product Engineering (Remote Eligible),-1,"Bachelor’s degree in Computer Science, Computer Engineering or a technical field. You will work with a team of world-class AI engineers and researchers to……",3.9,Capital One,"San Francisco, CA",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
533,Statistician,USD 58.62 - 68.96 Per Hour (Employer est.),"Complete statistical analysis and collaborate with customers to develop/communicate interpretive report. Contribute experimental design, statistical analysis,……",3.8,Genesis10,"Neenah, WI",1001 to 5000 Employees,1999,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
534,"Director, Artificial Intelligence",USD 140K - 200K (Employer est.),"Crisp communication and presentation skills, with the ability to effectively communicate complex technical concepts to both technical and non-technical……",3.7,McGraw Hill LLC.,United States,1001 to 5000 Employees,1888,Subsidiary or Business Segment,Education & Training Services,Education,$1 to $5 billion (USD)
535,Statistician I,USD 69K - 87K (Glassdoor est.),"The primary responsibilities of this position are to assist with study level statistical related activities, particularly to write statistical analysis plans,……",2.9,WuXi AppTec Inc,"San Diego, CA",10000+ Employees,2000,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable
536,Senior Data Scientist,USD 153K (Employer est.),"The worker will be employed at our office in New York, NY and from their home office in New York, NY earning at least $152,721.78 per year.…",3.5,Hearst Media Services,"New York, NY",10000+ Employees,1887,Company - Private,Publishing,Media & Communication,$10+ billion (USD)
537,Statistical Project Leader,USD 111K - 148K (Glassdoor est.),"Accountable for statistical aspects of clinical development plans, studies and submissions activities (when applicable), including quality, relevance to……",4.0,Sanofi,"Cambridge, MA",10000+ Employees,1973,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
538,Data Scientist 1 - Python/AI/ML,USD 130K - 270K (Employer est.),"Bachelor's degree from an accredited college or university in a quantitative discipline (e.g., statistics, mathematics, operations research, engineering or……",5.0,Captivation Software,United States,1 to 50 Employees,--,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
539,Chief Data Architect (Staff Level; Top Secret Clearance Required; San Diego CA),USD 161K - 241K (Employer est.),"Advanced technical knowledge of data science and data architecture. Directly lead the technical execution of their capabilities/products, including ownership of……",4.0,Northrop Grumman,"San Diego, CA",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
540,Data Scientist,-1,Building tools to automate data collection. Transferring data into a new format to make it more appropriate for analysis.…,3.0,Bravura Information Technology Systems Inc,United States,201 to 500 Employees,--,Contract,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD)
541,Data Scientist/San Francisco Bay area - Contractor,USD 85.00 - 105.00 Per Hour (Employer est.),"2-4+ years of experience performing data analysis; or 2+ years of experience performing data analysis and a Master's degree or PhD in statistics, math, physical……",3.8,EY,"San Francisco, CA",10000+ Employees,1989,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD)
542,Data Scientist,USD 86K - 138K (Employer est.),"Experience with Cloud-based data analysis tools including Hadoop and Mahout, Acumulo, Hive, Impala, Pig, and similar. Paid Time-Off and Holidays.…",3.6,Peraton,United States,10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
543,Data Scientist Senior Technical Specialist,USD 146K - 234K (Employer est.),"Requires strong technical and computational skills - engineering, physics, mathematics, coupled with the ability to code design, develop, and deploy……",3.6,Peraton,"Reston, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
544,Data Scientist,-1,"M.S in Statistics, Computer Science or related field with 2+ years experience. The role will require exploration and adoption of new technologies made available……",4.4,"Envision, LLC",Missouri,201 to 500 Employees,1994,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD)
545,Lead/Senior Bioinformatics Research Scientist- Data Scientist,USD 104K - 186K (Employer est.),"Bachelor's degree in bioinformatics, cheminformatics, statistics/computer science (with a background in biological sciences or chemistry) or related field.…",4.6,St. Jude Children's Research Hospital,"Memphis, TN",5001 to 10000 Employees,1962,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
546,Senior Data Analyst/Scientist,USD 50.00 - 55.00 Per Hour (Employer est.),Create and implement data scraping/mining tools and workflows. Help the team meet data analysis project deliverables. Create data visualizations with Power BI.…,4.1,CyberCoders,"Dallas, TX",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
547,Data Visualization PowerBI Developer,USD 84K - 112K (Glassdoor est.),"Perform technical risk analysis and reliability assessments. The Artificial Intelligence & Data Engineering team leverages the power of data, analytics,……",4.0,Deloitte,"Gilbert, AZ",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
548,Data Scientist - Human Resources -,USD 132K - 209K (Glassdoor est.),Strong communication skills with the ability to explain complex technical concepts to non-technical audiences.…,3.3,AutoNation Headquarters,"Fort Lauderdale, FL",10000+ Employees,1996,Company - Public,Vehicle Dealers,Retail & Wholesale,$10+ billion (USD)
