,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
58,Sr. Director - Data Science,USD 253K - 367K (Employer est.),"15+ years of experience in data science, analytics, or a related field with 7+ years in a leadership role overseeing data science teams.…",4.2,Indeed,Remote,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD)
59,Senior Data Analyst/Scientist,USD 50.00 - 55.00 Per Hour (Employer est.),Create and implement data scraping/mining tools and workflows. Help the team meet data analysis project deliverables. Create data visualizations with Power BI.…,4.1,CyberCoders,"Dallas, TX",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
60,"Director, Claims Data Scientist (REMOTE)",USD 148K - 222K (Employer est.),"As a Director of Data Science, you will lead a team of Data Scientists with varying levels of experience through the entire model lifecycle partnering with……",3.6,The Hartford,"Hartford, CT",10000+ Employees,1810,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
61,"Engineer, Generative AI",USD 160K - 190K (Employer est.),"Conduct research, design, and develop generative AI-driven features and experiences customized to the unique preferences and behaviors of our users.…",3.7,Vagaro,"Pleasanton, CA",201 to 500 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
62,Senior Lead Software Engineer - Data Modernization,USD 112K - 145K (Glassdoor est.),"Regularly provides technical guidance and direction to support the business and its technical teams, contractors, and vendors.…",4.0,JPMorgan Chase & Co,"Columbus, OH",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
63,Data Scientist,USD 86K - 138K (Employer est.),"Experience with Cloud-based data analysis tools including Hadoop and Mahout, Acumulo, Hive, Impala, Pig, and similar. Paid Time-Off and Holidays.…",3.6,Peraton,United States,10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
64,"Data Scientist, Fulfillment and Operations",USD 90K - 110K (Employer est.),"Master’s degree in Statistics, Economics, Analytics, or other quantitative field with 3+ years of applicable experience OR Bachelor’s degree in Statistics,……",3.4,SupplyHouse,United States,501 to 1000 Employees,2004,Company - Private,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable
65,Data Scientist Senior Technical Specialist,USD 146K - 234K (Employer est.),"Requires strong technical and computational skills - engineering, physics, mathematics, coupled with the ability to code design, develop, and deploy……",3.6,Peraton,"Reston, VA",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
66,Senior Data Scientist - AI SFL Scientific,USD 99K - 133K (Glassdoor est.),"Design, develop and apply state-of-the-art methods within AI and machine learning, including the utilization of GANs, CNNs, RNNs, LSTMs, BERT, and other models……",4.0,Deloitte,"Rosslyn, VA",10000+ Employees,1850,Company - Private,Business Consulting,Management & Consulting,$10+ billion (USD)
67,"Senior Associate Data Scientist - Statistical Analysis, Financial Services",-1,"Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics), or PhD in “STEM” field (Science, Technology, Engineering, or Mathematics).…",3.9,Capital One,"Plano, TX",10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
